freq	dB(S(2,1))
9.00000000000000000E9	-6.65043292134038122E0
9.02500000000000036E9	-6.69379464233287180E0
9.05000000000000071E9	-6.73488598154118545E0
9.07499999999999929E9	-6.77372231607022535E0
9.09999999999999964E9	-6.81031874507374724E0
9.12500000000000000E9	-6.84469007287021647E0
9.15000000000000036E9	-6.87685079514541808E0
9.17500000000000071E9	-6.90681508792418342E0
9.19999999999999929E9	-6.93459679902904824E0
9.22499999999999964E9	-6.96020944177583534E0
9.25000000000000000E9	-6.98366619068468086E0
9.27500000000000036E9	-7.00497987901101915E0
9.30000000000000071E9	-7.02416299792440668E0
9.32499999999999929E9	-7.04122769718394537E0
9.34999999999999964E9	-7.05618578717846745E0
9.37500000000000000E9	-7.06904874221641943E0
9.40000000000000036E9	-7.07982770496644065E0
9.42500000000000071E9	-7.08853349196362714E0
9.44999999999999929E9	-7.09517660010956952E0
9.47499999999999964E9	-7.09976721410606171E0
9.50000000000000000E9	-7.10231521477345051E0
9.52500000000000036E9	-7.10283018821437739E0
9.55000000000000071E9	-7.10132143579332542E0
9.57499999999999929E9	-7.09779798491083902E0
9.59999999999999964E9	-7.09226860055944819E0
9.62500000000000000E9	-7.08474179765600809E0
9.65000000000000036E9	-7.07522585415235028E0
9.67500000000000071E9	-7.06372882493314158E0
9.69999999999999929E9	-7.05025855651624411E0
9.72499999999999964E9	-7.03482270257747544E0
9.75000000000000000E9	-7.01742874032776953E0
9.77500000000000036E9	-6.99808398777671403E0
9.80000000000000071E9	-6.97679562192254821E0
9.82499999999999929E9	-6.95357069791465587E0
9.84999999999999964E9	-6.92841616924004366E0
9.87500000000000000E9	-6.90133890899196345E0
9.90000000000000036E9	-6.87234573228374046E0
9.92500000000000071E9	-6.84144341987786486E0
9.94999999999999929E9	-6.80863874310546713E0
9.97499999999999964E9	-6.77393849015813565E0
1.00000000000000000E10	-6.73734949383970161E0
1.00249999999999995E10	-6.69887866087236006E0
1.00500000000000012E10	-6.65853300285731198E0
1.00749999999999984E10	-6.61631966899720858E0
1.01000000000000001E10	-6.57224598069368149E0
